SCRIP_CODE,KEY
57590,ADANIENT_28-Jun-2018_180.0_CE
57591,ADANIENT_28-Jun-2018_180.0_PE
57592,ADANIENT_28-Jun-2018_190.0_CE
57593,ADANIENT_28-Jun-2018_190.0_PE
41471,ADANIENT_28-Jun-2018_20.0_CE
41472,ADANIENT_28-Jun-2018_20.0_PE
57594,ADANIENT_28-Jun-2018_200.0_CE
57595,ADANIENT_28-Jun-2018_200.0_PE
57596,ADANIENT_28-Jun-2018_210.0_CE
57597,ADANIENT_28-Jun-2018_210.0_PE
57598,ADANIENT_28-Jun-2018_220.0_CE
57599,ADANIENT_28-Jun-2018_220.0_PE
57600,ADANIENT_28-Jun-2018_230.0_CE
57601,ADANIENT_28-Jun-2018_230.0_PE
57602,ADANIENT_28-Jun-2018_240.0_CE
57603,ADANIENT_28-Jun-2018_240.0_PE
57604,ADANIENT_28-Jun-2018_250.0_CE
57605,ADANIENT_28-Jun-2018_250.0_PE
37332,ADANIENT_28-Jun-2018_30.0_CE
37336,ADANIENT_28-Jun-2018_30.0_PE
40575,ADANIENT_28-Jun-2018_40.0_CE
40589,ADANIENT_28-Jun-2018_40.0_PE
37942,ADANIENT_28-Jun-2018_50.0_CE
37944,ADANIENT_28-Jun-2018_50.0_PE
57556,ADANIENT_28-Jun-2018_60.0_CE
57557,ADANIENT_28-Jun-2018_60.0_PE
57558,ADANIENT_28-Jun-2018_70.0_CE
57559,ADANIENT_28-Jun-2018_70.0_PE
57560,ADANIENT_28-Jun-2018_80.0_CE
57561,ADANIENT_28-Jun-2018_80.0_PE
57562,ADANIENT_28-Jun-2018_90.0_CE
57563,ADANIENT_28-Jun-2018_90.0_PE
50168,ADANIENT_31-May-2018_-0.01_XX
41022,ADANIENT_31-May-2018_100.0_CE
41024,ADANIENT_31-May-2018_100.0_PE
41028,ADANIENT_31-May-2018_110.0_CE
41029,ADANIENT_31-May-2018_110.0_PE
39976,ADANIENT_31-May-2018_120.0_CE
39977,ADANIENT_31-May-2018_120.0_PE
38526,ADANIENT_31-May-2018_130.0_CE
38527,ADANIENT_31-May-2018_130.0_PE
51260,ADANIENT_31-May-2018_140.0_CE
51261,ADANIENT_31-May-2018_140.0_PE
51264,ADANIENT_31-May-2018_150.0_CE
