,KEY,OI,CLOSE,EXPIRY_DT,SCRIP_CODE
209,FTSE100_18-May-2018_6100.0_CE,0.0,887.25,18-May-2018,46609.0
210,FTSE100_18-May-2018_6100.0_PE,0.0,1.65,18-May-2018,46610.0
211,INDIAVIX_22-May-2018_0.0_XX,0.0,1236.75,22-May-2018,
212,NIFTYCPSE_24-May-2018_2300.0_PE,0.0,36.7,24-May-2018,45438.0
213,NIFTYCPSE_24-May-2018_2300.0_CE,0.0,149.9,24-May-2018,45426.0
214,NIFTYCPSE_24-May-2018_2325.0_PE,0.0,44.75,24-May-2018,45440.0
215,NIFTYCPSE_24-May-2018_2350.0_CE,0.0,117.75,24-May-2018,45441.0
216,NIFTYCPSE_24-May-2018_2350.0_PE,0.0,53.95,24-May-2018,45455.0
217,NIFTYCPSE_24-May-2018_2375.0_CE,0.0,103.4,24-May-2018,45456.0
218,NIFTYCPSE_24-May-2018_2375.0_PE,0.0,64.25,24-May-2018,45478.0
219,NIFTYCPSE_24-May-2018_2400.0_CE,0.0,90.2,24-May-2018,45479.0
220,NIFTYCPSE_24-May-2018_2400.0_PE,0.0,75.75,24-May-2018,45490.0
221,NIFTYCPSE_24-May-2018_2425.0_CE,0.0,78.2,24-May-2018,45491.0
222,NIFTYCPSE_24-May-2018_2425.0_PE,0.0,88.45,24-May-2018,45503.0
223,NIFTYCPSE_24-May-2018_2450.0_CE,0.0,67.3,24-May-2018,45504.0
224,NIFTYCPSE_24-May-2018_2450.0_PE,0.0,102.25,24-May-2018,45505.0
225,NIFTYCPSE_24-May-2018_2475.0_CE,0.0,57.6,24-May-2018,45508.0
226,NIFTYCPSE_24-May-2018_2475.0_PE,0.0,117.25,24-May-2018,45509.0
227,NIFTYCPSE_24-May-2018_2500.0_CE,0.0,48.95,24-May-2018,45510.0
228,NIFTYCPSE_24-May-2018_2500.0_PE,0.0,133.25,24-May-2018,45513.0
229,NIFTYCPSE_24-May-2018_2525.0_CE,0.0,41.3,24-May-2018,45514.0
230,NIFTYCPSE_24-May-2018_2525.0_PE,0.0,150.35,24-May-2018,45515.0
231,NIFTYCPSE_24-May-2018_2550.0_CE,0.0,34.7,24-May-2018,46958.0
232,NIFTYCPSE_24-May-2018_2550.0_PE,0.0,148.8,24-May-2018,46962.0
