,KEY,EXPIRY_DT,SCRIP_CODE,OI4,CLOSE4,NET_CHG_IN_VAL4,AVG_PRICE4,OI5,CLOSE5,CHG_IN_OI5,NET_CHG_IN_VAL5,NEW_NET_VAL5,AVG_PRICE5
139,BANKNIFTY_24-May-2018_26800.0_PE,24-05-2018,40168.0,40.0,516.05,0.0,0.0,40.0,550.0,0.0,0.0,0.0,0.0
140,BANKNIFTY_24-May-2018_26900.0_CE,24-05-2018,41773.0,37720.0,27.7,6648.0,0.743425238600212,43120.0,28.9,5400.0,156060.0,162708.0,3.7733766233766235
141,BANKNIFTY_24-May-2018_26900.0_PE,24-05-2018,41774.0,520.0,684.6,0.0,0.0,520.0,648.75,0.0,0.0,0.0,0.0
142,BANKNIFTY_24-May-2018_27000.0_CE,24-05-2018,35111.0,238120.0,18.8,21808.0,2.288417604569125,242240.0,19.3,4120.0,79516.0,101324.0,0.418279392338177
143,BANKNIFTY_24-May-2018_27000.0_PE,24-05-2018,35117.0,360.0,760.0,0.0,0.0,360.0,747.1,0.0,0.0,0.0,0.0
144,BANKNIFTY_24-May-2018_27100.0_CE,24-05-2018,36358.0,33840.0,11.8,-3776.0,0.9522458628841608,36960.0,12.8,3120.0,39936.0,36160.0,0.9783549783549783
145,BANKNIFTY_24-May-2018_27100.0_PE,24-May-2018,36359.0,2680.0,904.2,0.0,0.0,2680.0,904.2,0.0,0.0,0.0,0.0
146,BANKNIFTY_24-May-2018_27200.0_CE,24-05-2018,37210.0,26680.0,7.85,0.0,-0.09655172413793103,26840.0,8.1,160.0,1296.0,1296.0,0.048286140089418776
147,BANKNIFTY_24-May-2018_27200.0_PE,24-May-2018,37218.0,0.0,1568.95,0.0,,0.0,1568.95,0.0,0.0,0.0,
148,BANKNIFTY_24-May-2018_27300.0_CE,24-05-2018,39065.0,33920.0,5.45,1090.0,0.4349646226415094,34000.0,5.5,80.0,440.0,1530.0,0.045
149,BANKNIFTY_24-May-2018_27300.0_PE,24-May-2018,39068.0,0.0,1394.0,0.0,,0.0,1394.0,0.0,0.0,0.0,
150,BANKNIFTY_24-May-2018_27400.0_CE,24-05-2018,39069.0,9800.0,4.0,800.0,0.8263265306122449,10040.0,3.5,240.0,840.0,1640.0,0.16334661354581673
151,BANKNIFTY_24-May-2018_27400.0_PE,24-May-2018,39072.0,0.0,1487.5,0.0,,0.0,1487.5,0.0,0.0,0.0,
152,BANKNIFTY_24-May-2018_27500.0_CE,24-05-2018,39073.0,111280.0,3.5,3780.0,0.2320273184759166,117800.0,3.5,6520.0,22820.0,26600.0,0.22580645161290322
153,BANKNIFTY_24-May-2018_22100.0_CE,24-May-2018,45196.0,0.0,1980.35,0.0,,0.0,1980.35,0.0,0.0,0.0,
154,BANKNIFTY_24-May-2018_22100.0_PE,24-May-2018,45197.0,0.0,148.85,0.0,,0.0,148.85,0.0,0.0,0.0,
155,BANKNIFTY_24-May-2018_22200.0_CE,24-May-2018,45198.0,0.0,1898.7,0.0,,0.0,1898.7,0.0,0.0,0.0,
156,BANKNIFTY_24-May-2018_22200.0_PE,24-May-2018,45199.0,0.0,166.0,0.0,,0.0,166.0,0.0,0.0,0.0,
157,BANKNIFTY_24-May-2018_22300.0_CE,24-May-2018,45200.0,0.0,1818.45,0.0,,0.0,1818.45,0.0,0.0,0.0,
158,BANKNIFTY_24-May-2018_22300.0_PE,24-May-2018,45203.0,0.0,184.6,0.0,,0.0,184.6,0.0,0.0,0.0,
159,BANKNIFTY_24-May-2018_22400.0_CE,24-May-2018,45204.0,0.0,1739.8,0.0,,0.0,1739.8,0.0,0.0,0.0,
160,BANKNIFTY_24-May-2018_22400.0_PE,24-May-2018,45206.0,0.0,204.75,0.0,,0.0,204.75,0.0,0.0,0.0,
161,BANKNIFTY_24-May-2018_22500.0_CE,24-May-2018,45035.0,0.0,2035.65,0.0,,0.0,2035.65,0.0,0.0,0.0,
162,BANKNIFTY_24-May-2018_22500.0_PE,24-May-2018,45036.0,0.0,115.9,0.0,,0.0,115.9,0.0,0.0,0.0,
163,BANKNIFTY_24-May-2018_22600.0_CE,24-May-2018,45037.0,0.0,1951.5,0.0,,0.0,1951.5,0.0,0.0,0.0,
164,BANKNIFTY_24-May-2018_22600.0_PE,24-May-2018,45038.0,0.0,130.5,0.0,,0.0,130.5,0.0,0.0,0.0,
165,BANKNIFTY_24-May-2018_22700.0_CE,24-May-2018,45039.0,0.0,1868.8,0.0,,0.0,1868.8,0.0,0.0,0.0,
166,BANKNIFTY_24-May-2018_22700.0_PE,24-May-2018,45040.0,0.0,146.55,0.0,,0.0,146.55,0.0,0.0,0.0,
167,BANKNIFTY_24-May-2018_22800.0_CE,24-May-2018,45041.0,0.0,1787.5,0.0,,0.0,1787.5,0.0,0.0,0.0,
168,BANKNIFTY_24-May-2018_22800.0_PE,24-May-2018,45047.0,0.0,164.05,0.0,,0.0,164.05,0.0,0.0,0.0,
169,BANKNIFTY_24-May-2018_22900.0_CE,24-May-2018,45048.0,0.0,1707.8,0.0,,0.0,1707.8,0.0,0.0,0.0,
170,BANKNIFTY_24-May-2018_22900.0_PE,24-May-2018,45049.0,0.0,183.05,0.0,,0.0,183.05,0.0,0.0,0.0,
171,BANKNIFTY_24-May-2018_23000.0_CE,24-May-2018,45051.0,0.0,1629.7,0.0,,0.0,1629.7,0.0,0.0,0.0,
172,BANKNIFTY_24-May-2018_27500.0_PE,24-May-2018,39075.0,80.0,1100.0,0.0,0.0,80.0,1100.0,0.0,0.0,0.0,0.0
173,BANKNIFTY_24-May-2018_27600.0_CE,24-05-2018,39555.0,3720.0,3.8,0.0,0.0,3720.0,3.8,0.0,0.0,0.0,0.0
174,BANKNIFTY_24-May-2018_27600.0_PE,24-May-2018,39557.0,7200.0,924.45,0.0,0.0,7200.0,924.45,0.0,0.0,0.0,0.0
175,BANKNIFTY_24-May-2018_27700.0_CE,24-May-2018,39560.0,0.0,18.15,0.0,,0.0,18.15,0.0,0.0,0.0,
176,BANKNIFTY_24-May-2018_27700.0_PE,24-May-2018,39566.0,0.0,1548.0,0.0,,0.0,1548.0,0.0,0.0,0.0,
